Question,Answer
"max 700,-",Noted. I'll show you some artists that fit your criteria
500-2000,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
tot ?,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Tot EUR 700 max,Noted. I'll show you some artists that fit your criteria
Een maximum van 600 euro,Understood. I'll show you some artists that fit your criteria.
750,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
650,Sure thing! I'll show you some artists that fit your criteria.
300,Sure thing! I'll show you some artists that fit your criteria.
350,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
40 euros,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,Understood. I'll show you some artists that fit your criteria.
Max 600 inclusive btw,Noted. I'll show you some artists that fit your criteria
250,Sure thing! I'll show you some artists that fit your criteria.
650,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Bitte um Vorschlag!,Sure thing! I'll show you some artists that fit your criteria.
100-600EUR,Understood. I'll show you some artists that fit your criteria.
Reisvergoeding ,Sure thing! I'll show you some artists that fit your criteria.
EUR 800 ,Sure thing! I'll show you some artists that fit your criteria.
600EUR,Understood. I'll show you some artists that fit your criteria.
500 - 800,Noted. I'll show you some artists that fit your criteria
"800,-",Noted. I'll show you some artists that fit your criteria
Tot 500 euro ,Understood. I'll show you some artists that fit your criteria.
"Tot de 400,-",Understood. I'll show you some artists that fit your criteria.
N.o.t.k,Noted. I'll show you some artists that fit your criteria
225,Noted. I'll show you some artists that fit your criteria
150 euro,Noted. I'll show you some artists that fit your criteria
250,Noted. I'll show you some artists that fit your criteria
150-200,Sure thing! I'll show you some artists that fit your criteria.
350,Sure thing! I'll show you some artists that fit your criteria.
400,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500EUR,Noted. I'll show you some artists that fit your criteria
700+/-,Sure thing! I'll show you some artists that fit your criteria.
1000,Sure thing! I'll show you some artists that fit your criteria.
max 1500 euro,Understood. I'll show you some artists that fit your criteria.
100,Sure thing! I'll show you some artists that fit your criteria.
600,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Depende,Understood. I'll show you some artists that fit your criteria.
"EUR150,00-EUR200,00",Understood. I'll show you some artists that fit your criteria.
200.000,Understood. I'll show you some artists that fit your criteria.
0/???,Sure thing! I'll show you some artists that fit your criteria.
500,Sure thing! I'll show you some artists that fit your criteria.
No tengo ,Sure thing! I'll show you some artists that fit your criteria.
150,Noted. I'll show you some artists that fit your criteria
100/150,Understood. I'll show you some artists that fit your criteria.
test,Sure thing! I'll show you some artists that fit your criteria.
200,Noted. I'll show you some artists that fit your criteria
depende de solista o duo,Sure thing! I'll show you some artists that fit your criteria.
200,Sure thing! I'll show you some artists that fit your criteria.
250,Noted. I'll show you some artists that fit your criteria
tot 2500 euro ,Noted. I'll show you some artists that fit your criteria
De winnaar mag een nummer opnemen in de studio,Sure thing! I'll show you some artists that fit your criteria.
300,Understood. I'll show you some artists that fit your criteria.
200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
800 euros,Noted. I'll show you some artists that fit your criteria
Tot de 400,Sure thing! I'll show you some artists that fit your criteria.
"band max 400EUR, solo artiest max 180EUR","Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
800EUR,Sure thing! I'll show you some artists that fit your criteria.
Maximo 70EUR,Noted. I'll show you some artists that fit your criteria
Maximaal 1600,Noted. I'll show you some artists that fit your criteria
pdt confirmar por cliente,Sure thing! I'll show you some artists that fit your criteria.
300-375EUR,Understood. I'll show you some artists that fit your criteria.
500EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Max 500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
5000 euros pero segun el cache ,Noted. I'll show you some artists that fit your criteria
150,Noted. I'll show you some artists that fit your criteria
Hasta 600,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Afspraak,Sure thing! I'll show you some artists that fit your criteria.
max 500,Noted. I'll show you some artists that fit your criteria
Maximo 400,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
560,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
 Espero orientacion. Soy consciente de la fecha y por tanto supondra un incremento sobre los presupuestos habituales. ,Sure thing! I'll show you some artists that fit your criteria.
350 euro,Understood. I'll show you some artists that fit your criteria.
Max 500 per optreden,Sure thing! I'll show you some artists that fit your criteria.
2750,Sure thing! I'll show you some artists that fit your criteria.
100,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
400EUR,Understood. I'll show you some artists that fit your criteria.
350,Noted. I'll show you some artists that fit your criteria
Nader te bepalen,Sure thing! I'll show you some artists that fit your criteria.
Hay que negociar,Understood. I'll show you some artists that fit your criteria.
Vlucht onderdak vergoeding ,Understood. I'll show you some artists that fit your criteria.
Intentaria sufragarlo yo personalmente ,Sure thing! I'll show you some artists that fit your criteria.
Puedo ofrecerles una personalidad misma no me gusta copiarme de alguien mas quiero tener un estilo propio y ser muy grande,Sure thing! I'll show you some artists that fit your criteria.
150 ( a discuter) ,Noted. I'll show you some artists that fit your criteria
275,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
In  overleg,Sure thing! I'll show you some artists that fit your criteria.
100 euros,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500 ex. btw,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500 / 800,Noted. I'll show you some artists that fit your criteria
100 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500-600,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Indiferente,Noted. I'll show you some artists that fit your criteria
Algo no muy caro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
150EUR,Sure thing! I'll show you some artists that fit your criteria.
0-100EUR,Noted. I'll show you some artists that fit your criteria
ca. 750EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
"Depende del grupo musical, pero el presupuesto estaria en torno de 400 y 600 euros.",Understood. I'll show you some artists that fit your criteria.
200-250 euro max,Understood. I'll show you some artists that fit your criteria.
100 a 200EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Maximo 100EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
1000/1500,Understood. I'll show you some artists that fit your criteria.
"0,01",Noted. I'll show you some artists that fit your criteria
Nog te bespreken.,Understood. I'll show you some artists that fit your criteria.
400 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
"maximaal EUR200,-",Understood. I'll show you some artists that fit your criteria.
EUR200-400,Noted. I'll show you some artists that fit your criteria
100,Sure thing! I'll show you some artists that fit your criteria.
1000,Noted. I'll show you some artists that fit your criteria
EUR250,Sure thing! I'll show you some artists that fit your criteria.
600,Noted. I'll show you some artists that fit your criteria
Max 300 EUR.     Eten en drinken in de vorm van bonnen,Sure thing! I'll show you some artists that fit your criteria.
300,Noted. I'll show you some artists that fit your criteria
350,Sure thing! I'll show you some artists that fit your criteria.
Da definire,Sure thing! I'll show you some artists that fit your criteria.
200-350,Noted. I'll show you some artists that fit your criteria
400-500,Understood. I'll show you some artists that fit your criteria.
200,Understood. I'll show you some artists that fit your criteria.
300,Sure thing! I'll show you some artists that fit your criteria.
300/350,Sure thing! I'll show you some artists that fit your criteria.
EUR250/EUR300 (mag zonder rekening),Noted. I'll show you some artists that fit your criteria
Tussen de 500 en 800 euro,Sure thing! I'll show you some artists that fit your criteria.
120,Noted. I'll show you some artists that fit your criteria
100-400,Understood. I'll show you some artists that fit your criteria.
500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
"Ons budget is beperkt. Graag gaan wij in overleg wat wij elkaar kunnen bieden. Maximale budget is 125,-",Sure thing! I'll show you some artists that fit your criteria.
"EUR250,- ",Sure thing! I'll show you some artists that fit your criteria.
400,Sure thing! I'll show you some artists that fit your criteria.
EUR200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,Noted. I'll show you some artists that fit your criteria
1000 euros,Understood. I'll show you some artists that fit your criteria.
275,Sure thing! I'll show you some artists that fit your criteria.
"450,00 euro","Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500-2200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
350 incl geluid,Noted. I'll show you some artists that fit your criteria
600-1200,Noted. I'll show you some artists that fit your criteria
350,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
100 eur,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,Noted. I'll show you some artists that fit your criteria
450EUR,Understood. I'll show you some artists that fit your criteria.
tot 1000 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,Sure thing! I'll show you some artists that fit your criteria.
"Max 500,00",Sure thing! I'll show you some artists that fit your criteria.
entre 600 y 800 euros,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Alrededor de 1500 euros.,Understood. I'll show you some artists that fit your criteria.
450,Sure thing! I'll show you some artists that fit your criteria.
Rond 700 euro,Understood. I'll show you some artists that fit your criteria.
$3000mxn,Understood. I'll show you some artists that fit your criteria.
Bespreekbaar,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
negociable,Sure thing! I'll show you some artists that fit your criteria.
250,Understood. I'll show you some artists that fit your criteria.
275,Understood. I'll show you some artists that fit your criteria.
500-1000,Noted. I'll show you some artists that fit your criteria
150,Noted. I'll show you some artists that fit your criteria
Entre $150 y $200 USD,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Tot 900 euro,Sure thing! I'll show you some artists that fit your criteria.
max. 500,Noted. I'll show you some artists that fit your criteria
100,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
100,Noted. I'll show you some artists that fit your criteria
350,Sure thing! I'll show you some artists that fit your criteria.
1000,Sure thing! I'll show you some artists that fit your criteria.
800-1000 Euros,Understood. I'll show you some artists that fit your criteria.
budget ligt rond de 600 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
150,Noted. I'll show you some artists that fit your criteria
Max 500 eu,Understood. I'll show you some artists that fit your criteria.
200 euro,Understood. I'll show you some artists that fit your criteria.
PS250,Noted. I'll show you some artists that fit your criteria
350,Noted. I'll show you some artists that fit your criteria
Menos de 200,Noted. I'll show you some artists that fit your criteria
Es kommt drauf an ,Noted. I'll show you some artists that fit your criteria
500,Noted. I'll show you some artists that fit your criteria
500,Noted. I'll show you some artists that fit your criteria
300,Noted. I'll show you some artists that fit your criteria
100,Understood. I'll show you some artists that fit your criteria.
300EUR,Noted. I'll show you some artists that fit your criteria
200-800,Understood. I'll show you some artists that fit your criteria.
100,Noted. I'll show you some artists that fit your criteria
"zo weinig mogelijk, en zoveel als nodig :)",Understood. I'll show you some artists that fit your criteria.
offerte,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,Sure thing! I'll show you some artists that fit your criteria.
"150,250",Noted. I'll show you some artists that fit your criteria
100 - 250EUR,Noted. I'll show you some artists that fit your criteria
400EUR,Understood. I'll show you some artists that fit your criteria.
100-500EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
550,Sure thing! I'll show you some artists that fit your criteria.
Lo negociaria en persona ,Noted. I'll show you some artists that fit your criteria
800,Sure thing! I'll show you some artists that fit your criteria.
0EUR/150EUR,Understood. I'll show you some artists that fit your criteria.
Overleg,Noted. I'll show you some artists that fit your criteria
Max 300 euro,Noted. I'll show you some artists that fit your criteria
"""",Sure thing! I'll show you some artists that fit your criteria.
3000,Sure thing! I'll show you some artists that fit your criteria.
300 a 500,Understood. I'll show you some artists that fit your criteria.
200,Noted. I'll show you some artists that fit your criteria
500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
400 euros ,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Negociable,Sure thing! I'll show you some artists that fit your criteria.
400,Noted. I'll show you some artists that fit your criteria
We gaan voor artiesten na het optreden met de hoed rond,Understood. I'll show you some artists that fit your criteria.
maximaal 200 euro,Noted. I'll show you some artists that fit your criteria
200,Sure thing! I'll show you some artists that fit your criteria.
Leuke ervaring met de jongens van Gierige Gasten en promotie voor de band in de video,Sure thing! I'll show you some artists that fit your criteria.
300,Noted. I'll show you some artists that fit your criteria
345,Sure thing! I'll show you some artists that fit your criteria.
500EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Wat het waard is. ,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Niet echt een idee: 250 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
1000,Noted. I'll show you some artists that fit your criteria
Max.400EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
125,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
150 euro,Sure thing! I'll show you some artists that fit your criteria.
Max 1500 euro ,Noted. I'll show you some artists that fit your criteria
500 incl.btw,Noted. I'll show you some artists that fit your criteria
Ligt er aan,Understood. I'll show you some artists that fit your criteria.
"Alojamiento, comida, bebidas y la colecta de la gente en mi cafe - bar.","Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,Sure thing! I'll show you some artists that fit your criteria.
500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
400-600,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500,Understood. I'll show you some artists that fit your criteria.
EUR150,Understood. I'll show you some artists that fit your criteria.
Seria graduacion,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
60-80euro voor een uur,Noted. I'll show you some artists that fit your criteria
"300, bespreekbaar",Noted. I'll show you some artists that fit your criteria
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
1000,Understood. I'll show you some artists that fit your criteria.
in overleg,Understood. I'll show you some artists that fit your criteria.
500,Understood. I'll show you some artists that fit your criteria.
Habra que negociarlo ,Sure thing! I'll show you some artists that fit your criteria.
100,Understood. I'll show you some artists that fit your criteria.
700/800EUR,Sure thing! I'll show you some artists that fit your criteria.
"maximaal EUR.75,00",Understood. I'll show you some artists that fit your criteria.
500 euro,Sure thing! I'll show you some artists that fit your criteria.
ca. 500 euro,Sure thing! I'll show you some artists that fit your criteria.
De 500 a 800,Noted. I'll show you some artists that fit your criteria
200.00,Understood. I'll show you some artists that fit your criteria.
250-500,Sure thing! I'll show you some artists that fit your criteria.
Depende ,Understood. I'll show you some artists that fit your criteria.
500,Noted. I'll show you some artists that fit your criteria
beperkt budget afhankelijk van de geboden kwaliteit,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
150,Noted. I'll show you some artists that fit your criteria
350 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
No tengo ni idea que puede costar,Understood. I'll show you some artists that fit your criteria.
Max. 2000EUR,Understood. I'll show you some artists that fit your criteria.
400,Sure thing! I'll show you some artists that fit your criteria.
Bespreekbaar,Sure thing! I'll show you some artists that fit your criteria.
1000EUR,Understood. I'll show you some artists that fit your criteria.
1000,Noted. I'll show you some artists that fit your criteria
EUR150,Noted. I'll show you some artists that fit your criteria
500-800,Understood. I'll show you some artists that fit your criteria.
150EUR,Sure thing! I'll show you some artists that fit your criteria.
1900,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Maximo 600EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
800,Understood. I'll show you some artists that fit your criteria.
300EUR - 500EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
bis 500 EUR - 800EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Max 350,Understood. I'll show you some artists that fit your criteria.
150,Understood. I'll show you some artists that fit your criteria.
Max 400 (bespreekbaar),Understood. I'll show you some artists that fit your criteria.
Verschillend,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
100 maximo,Sure thing! I'll show you some artists that fit your criteria.
100,Understood. I'll show you some artists that fit your criteria.
200-300,Noted. I'll show you some artists that fit your criteria
1000-1300 euros,Understood. I'll show you some artists that fit your criteria.
150,Sure thing! I'll show you some artists that fit your criteria.
"300,- ",Noted. I'll show you some artists that fit your criteria
EUR 250,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
400 euro ,Noted. I'll show you some artists that fit your criteria
175,Sure thing! I'll show you some artists that fit your criteria.
EUR550 PA inbegrepen,Understood. I'll show you some artists that fit your criteria.
500 - 600,Sure thing! I'll show you some artists that fit your criteria.
75,Noted. I'll show you some artists that fit your criteria
4000EUR,Understood. I'll show you some artists that fit your criteria.
90,Understood. I'll show you some artists that fit your criteria.
Todo es hablarlo,Sure thing! I'll show you some artists that fit your criteria.
350,Sure thing! I'll show you some artists that fit your criteria.
EUR100 per gezongen uur,Understood. I'll show you some artists that fit your criteria.
Een redelijk hoog budget omdat het 1 malig is ,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300 - 500 euro,Understood. I'll show you some artists that fit your criteria.
200,Understood. I'll show you some artists that fit your criteria.
300/350,Sure thing! I'll show you some artists that fit your criteria.
300EUR - 400EUR,Sure thing! I'll show you some artists that fit your criteria.
200-400,Noted. I'll show you some artists that fit your criteria
No lo se ,Noted. I'll show you some artists that fit your criteria
3500 eur maximum,Sure thing! I'll show you some artists that fit your criteria.
No se,Sure thing! I'll show you some artists that fit your criteria.
1000-1500,Noted. I'll show you some artists that fit your criteria
"EUR300,-",Noted. I'll show you some artists that fit your criteria
Max. EUR 200,Understood. I'll show you some artists that fit your criteria.
150,Noted. I'll show you some artists that fit your criteria
200EUR,Sure thing! I'll show you some artists that fit your criteria.
Negociable,Sure thing! I'll show you some artists that fit your criteria.
500,Sure thing! I'll show you some artists that fit your criteria.
100 euros sobre una hora ,Noted. I'll show you some artists that fit your criteria
Sobre 100 EUR,Sure thing! I'll show you some artists that fit your criteria.
500,Understood. I'll show you some artists that fit your criteria.
Nvt graag per mail contact,Understood. I'll show you some artists that fit your criteria.
200EUR,Noted. I'll show you some artists that fit your criteria
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,Noted. I'll show you some artists that fit your criteria
150,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300-400,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
"2000,00",Sure thing! I'll show you some artists that fit your criteria.
120,Noted. I'll show you some artists that fit your criteria
250-400,Sure thing! I'll show you some artists that fit your criteria.
150,Understood. I'll show you some artists that fit your criteria.
800 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
250,Sure thing! I'll show you some artists that fit your criteria.
300,Noted. I'll show you some artists that fit your criteria
100,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
1000,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,Understood. I'll show you some artists that fit your criteria.
150,Understood. I'll show you some artists that fit your criteria.
nihil,Noted. I'll show you some artists that fit your criteria
100EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
1.000.-,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
150 maximaal,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
600,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
400,Understood. I'll show you some artists that fit your criteria.
400 / 500 eur.,Understood. I'll show you some artists that fit your criteria.
350,Noted. I'll show you some artists that fit your criteria
EUR300,Understood. I'll show you some artists that fit your criteria.
"950, inclusief geluid",Noted. I'll show you some artists that fit your criteria
200,Sure thing! I'll show you some artists that fit your criteria.
100,Sure thing! I'll show you some artists that fit your criteria.
300,Noted. I'll show you some artists that fit your criteria
Hasta 200,Noted. I'll show you some artists that fit your criteria
Een reele vergoeding en reiskosten  ,Sure thing! I'll show you some artists that fit your criteria.
Hasta 400 euros,Sure thing! I'll show you some artists that fit your criteria.
500 EUR Gage,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
graag te bespreken op maat,Sure thing! I'll show you some artists that fit your criteria.
400,Understood. I'll show you some artists that fit your criteria.
??,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
200,Understood. I'll show you some artists that fit your criteria.
Asequible,Sure thing! I'll show you some artists that fit your criteria.
300 aprox,Sure thing! I'll show you some artists that fit your criteria.
te bespreken,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Max 400 euro voor 2 uren (19u tot 21u),Sure thing! I'll show you some artists that fit your criteria.
350,Sure thing! I'll show you some artists that fit your criteria.
1000aprox,Understood. I'll show you some artists that fit your criteria.
150-200,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
max. 500 (het is een evenement voor KiKa),Sure thing! I'll show you some artists that fit your criteria.
mooie muziek heeft z'n prijs,Understood. I'll show you some artists that fit your criteria.
Lo que pidan siempre que sea razonable,Understood. I'll show you some artists that fit your criteria.
Negociable,Understood. I'll show you some artists that fit your criteria.
Tot 650,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
2000,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Max EUR130,Understood. I'll show you some artists that fit your criteria.
500EUR,Understood. I'll show you some artists that fit your criteria.
200-500,Sure thing! I'll show you some artists that fit your criteria.
100euri,Sure thing! I'll show you some artists that fit your criteria.
750,Noted. I'll show you some artists that fit your criteria
700,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
50,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
150,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500,Sure thing! I'll show you some artists that fit your criteria.
80,Understood. I'll show you some artists that fit your criteria.
Tussen 500 en 800 euro,Noted. I'll show you some artists that fit your criteria
1000,Noted. I'll show you some artists that fit your criteria
150 200EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
"reiskosten EUR50,- en een heerlijke pasta maaltijd",Noted. I'll show you some artists that fit your criteria
+/- 300 euro,Noted. I'll show you some artists that fit your criteria
Max 200 euro ,Understood. I'll show you some artists that fit your criteria.
500,Noted. I'll show you some artists that fit your criteria
500,Understood. I'll show you some artists that fit your criteria.
400,Understood. I'll show you some artists that fit your criteria.
100,Noted. I'll show you some artists that fit your criteria
1500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Tengo que saber que cobran,Noted. I'll show you some artists that fit your criteria
+/- 200EUR,Understood. I'll show you some artists that fit your criteria.
Flexibel betaalbaar ,Understood. I'll show you some artists that fit your criteria.
Bajo de 200 a 400 o un poquito mas ,Noted. I'll show you some artists that fit your criteria
300 a 600,Noted. I'll show you some artists that fit your criteria
Vrijwillige basis,Sure thing! I'll show you some artists that fit your criteria.
.,Sure thing! I'll show you some artists that fit your criteria.
2290EUR,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
150-200,Sure thing! I'll show you some artists that fit your criteria.
150EUR,Noted. I'll show you some artists that fit your criteria
200,Noted. I'll show you some artists that fit your criteria
3500,Noted. I'll show you some artists that fit your criteria
"EUR800,-",Understood. I'll show you some artists that fit your criteria.
900,Noted. I'll show you some artists that fit your criteria
350,Noted. I'll show you some artists that fit your criteria
300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Lo que salga ,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
700,Understood. I'll show you some artists that fit your criteria.
300/400,Understood. I'll show you some artists that fit your criteria.
Publiciteit,Understood. I'll show you some artists that fit your criteria.
Hasta 700 ,Sure thing! I'll show you some artists that fit your criteria.
a concretar,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Ntb,Noted. I'll show you some artists that fit your criteria
Tot 900.00,Noted. I'll show you some artists that fit your criteria
250/300,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
1000 euro,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Circa 500 euro,Noted. I'll show you some artists that fit your criteria
150-200 ,Understood. I'll show you some artists that fit your criteria.
120 una cancion solo ,Sure thing! I'll show you some artists that fit your criteria.
350,Sure thing! I'll show you some artists that fit your criteria.
N.o.v.t. ,Noted. I'll show you some artists that fit your criteria
300 euro,Noted. I'll show you some artists that fit your criteria
500,Sure thing! I'll show you some artists that fit your criteria.
"geen, naamsbekendheid, gezelligheid en zij ondersteunen een mooi doel!",Sure thing! I'll show you some artists that fit your criteria.
50/100,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
500,Sure thing! I'll show you some artists that fit your criteria.
Niet al te hoog (bespreekbaar),Noted. I'll show you some artists that fit your criteria
600,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
+/- 350,Understood. I'll show you some artists that fit your criteria.
EUR400,Understood. I'll show you some artists that fit your criteria.
500,"Perfect! Based on your preferences, I'll suggest you some artists. Thank you for choosing Gigstarter!"
Houd ik open,Sure thing! I'll show you some artists that fit your criteria.
Ntb,Sure thing! I'll show you some artists that fit your criteria.
400,Understood. I'll show you some artists that fit your criteria.
Heel weinig,Understood. I'll show you some artists that fit your criteria.
minimum,Sure thing! I'll show you some artists that fit your criteria.
Niet meer dan 1000,Understood. I'll show you some artists that fit your criteria.
Te bespreken.,Sure thing! I'll show you some artists that fit your criteria.
